SENTENCE_ID	RELATION_ID	SENTENCE	ARGUMENT_1	ARGUMENT_1_CATEGORY	RELATION	ARGUMENT_2	ARGUMENT_2_CATEGORY
3	1	Marcelo_Tejedor, paleontólogo de a Universidade_Nacional_da_Patagônia, esboça um sorriso meio sem graça quando lhe perguntam se não é uma situação frustrante.	Marcelo_Tejedor	PER	paleontólogo de	Universidade_Nacional_da_Patagônia	ORG
4	3	Esse é um alvo viável para remédios contra a obesidade', disse um de os autores, John_Clapham, de a empresa farmacêutica Smith_Kline_Beecham, que fez o estudo em colaboração com a Universidade_de_Cambridge, Reino_Unido.	John_Clapham	PER	de	Smith_Kline_Beecham	ORG
9	2	Um grupo que reúne 13 sociedades científicas nacionais, lideradas por a Academia_Brasileira_de_Ciências e por a Associação_Nacional_de_Biossegurança (ANBio), enviou uma carta a o Senado_Federal para pedir mudanças em o projeto de a nova Lei_de_Biossegurança, recentemente aprovado por a Câmara de os Deputados.	Associação_Nacional_de_Biossegurança	ORG	(	ANBio	ORG
10	1	Primeiro, pede que a CTNBio (Comissão_Técnica_Nacional_de_Biossegurança) seja a única instância a regulamentar tanto a pesquisa como a comercialização de transgênicos, em o âmbito de o mérito científico.	CTNBio	ORG	(	Comissão_Técnica_Nacional_de_Biossegurança	ORG
11	1	A idéia foi lançada por o ministro_Roberto_Amaral (Ciência_e_Tecnologia) e detalhada ontem durante a abertura de o 1º Congresso_Internacional_de_Biodiesel, realizado em Ribeirão_Preto e promovido por a USP (Universidade_de_São_Paulo) de a cidade.	ministro_Roberto_Amaral	PER	(	Ciência_e_Tecnologia	ORG
11	5	A idéia foi lançada por o ministro_Roberto_Amaral (Ciência_e_Tecnologia) e detalhada ontem durante a abertura de o 1º Congresso_Internacional_de_Biodiesel, realizado em Ribeirão_Preto e promovido por a USP (Universidade_de_São_Paulo) de a cidade.	USP	ORG	(	Universidade_de_São_Paulo	ORG
12	1	Francelino_Grando, secretário_de_Política_Tecnológica_Empresarial de o MCT (Ministério_da_Ciência_e_Tecnologia), disse que a proposta é 'uma equação lógica'.	Francelino_Grando	PER	de	MCT	ORG
12	2	Francelino_Grando, secretário_de_Política_Tecnológica_Empresarial de o MCT (Ministério_da_Ciência_e_Tecnologia), disse que a proposta é 'uma equação lógica'.	secretário_de_Política_Tecnológica_Empresarial	PER	de	MCT	ORG
12	3	Francelino_Grando, secretário_de_Política_Tecnológica_Empresarial de o MCT (Ministério_da_Ciência_e_Tecnologia), disse que a proposta é 'uma equação lógica'.	MCT	ORG	(	Ministério_da_Ciência_e_Tecnologia	ORG
14	4	Ainda ontem, o prefeito de Ribeirão, Gilberto_Maggioni (PMN), assinou uma carta de intenção com a USP para colocar parte de a frota de a administração municipal movida a biodiesel, já a partir de junho.	Gilberto_Maggioni	PER	(	PMN	ORG
20	5	O aumento de a temperatura em a Antártida durante o último século foi de 1,2°C, por o menos o dobro de a média em o resto de o planeta, que ficou entre 0,2°C e 0,6°C, segundo o IPCC (Painel_Intergovernamental_de_Mudança_Climática, órgão de a ONU).	Painel_Intergovernamental_de_Mudança_Climática	ORG	órgão de	ONU	ORG
22	1	Os brasileiros (Gilson_Rambelli, Paulo_Bava_de_Camargo e Flávio_Rizzi, pesquisadores de o Museu_de_Arqueologia_e_Etnologia (MAE) de a USP) acharam mesmo restos de um ou dois navios antigos, possivelmente portugueses de os século 15 ou 16, de a chamada tradição ibero-atlântica.	Gilson_Rambelli	PER	pesquisadores de	Museu_de_Arqueologia_e_Etnologia	ORG
22	2	Os brasileiros (Gilson_Rambelli, Paulo_Bava_de_Camargo e Flávio_Rizzi, pesquisadores de o Museu_de_Arqueologia_e_Etnologia (MAE) de a USP) acharam mesmo restos de um ou dois navios antigos, possivelmente portugueses de os século 15 ou 16, de a chamada tradição ibero-atlântica.	Flávio_Rizzi	PER	pesquisadores de	Museu_de_Arqueologia_e_Etnologia	ORG
22	3	Os brasileiros (Gilson_Rambelli, Paulo_Bava_de_Camargo e Flávio_Rizzi, pesquisadores de o Museu_de_Arqueologia_e_Etnologia (MAE) de a USP) acharam mesmo restos de um ou dois navios antigos, possivelmente portugueses de os século 15 ou 16, de a chamada tradição ibero-atlântica.	Museu_de_Arqueologia_e_Etnologia	ORG	(	MAE	ORG
22	4	Os brasileiros (Gilson_Rambelli, Paulo_Bava_de_Camargo e Flávio_Rizzi, pesquisadores de o Museu_de_Arqueologia_e_Etnologia (MAE) de a USP) acharam mesmo restos de um ou dois navios antigos, possivelmente portugueses de os século 15 ou 16, de a chamada tradição ibero-atlântica.	Museu_de_Arqueologia_e_Etnologia	ORG	de	USP	ORG
22	5	Os brasileiros (Gilson_Rambelli, Paulo_Bava_de_Camargo e Flávio_Rizzi, pesquisadores de o Museu_de_Arqueologia_e_Etnologia (MAE) de a USP) acharam mesmo restos de um ou dois navios antigos, possivelmente portugueses de os século 15 ou 16, de a chamada tradição ibero-atlântica.	MAE	ORG	de	USP	ORG
22	6	Os brasileiros (Gilson_Rambelli, Paulo_Bava_de_Camargo e Flávio_Rizzi, pesquisadores de o Museu_de_Arqueologia_e_Etnologia (MAE) de a USP) acharam mesmo restos de um ou dois navios antigos, possivelmente portugueses de os século 15 ou 16, de a chamada tradição ibero-atlântica.	Paulo_Bava_de_Camargo	PER	pesquisadores de	Museu_de_Arqueologia_e_Etnologia	ORG
22	7	Os brasileiros (Gilson_Rambelli, Paulo_Bava_de_Camargo e Flávio_Rizzi, pesquisadores de o Museu_de_Arqueologia_e_Etnologia (MAE) de a USP) acharam mesmo restos de um ou dois navios antigos, possivelmente portugueses de os século 15 ou 16, de a chamada tradição ibero-atlântica.	Gilson_Rambelli	PER	pesquisadores de	MAE	ORG
22	8	Os brasileiros (Gilson_Rambelli, Paulo_Bava_de_Camargo e Flávio_Rizzi, pesquisadores de o Museu de Arqueologia e Etnologia (MAE) de a USP) acharam mesmo restos de um ou dois navios antigos, possivelmente portugueses de os século 15 ou 16, de a chamada tradição ibero-atlântica.	Paulo_Bava_de_Camargo	PER	pesquisadores de	MAE	ORG
22	9	Os brasileiros (Gilson_Rambelli, Paulo_Bava_de_Camargo e Flávio_Rizzi, pesquisadores de o Museu de Arqueologia e Etnologia (MAE) de a USP) acharam mesmo restos de um ou dois navios antigos, possivelmente portugueses de os século 15 ou 16, de a chamada tradição ibero-atlântica.	Flávio_Rizzi	PER	pesquisadores de	MAE	ORG
22	10	Os brasileiros (Gilson_Rambelli, Paulo_Bava_de_Camargo e Flávio_Rizzi, pesquisadores de o Museu de Arqueologia e Etnologia (MAE) de a USP) acharam mesmo restos de um ou dois navios antigos, possivelmente portugueses de os século 15 ou 16, de a chamada tradição ibero-atlântica.	Gilson_Rambelli	PER	pesquisadores de	USP	ORG
26	1	Esse vírus é antigo e é uma zoonose, diz o virologista Paolo_Zanotto, de a USP, que está preparando um diagnóstico molecular de a pneumonia.	Paolo_Zanotto	PER	de	USP	ORG
27	1	Isso é tudo o que esperam órgãos como os Institutos_Nacionais_de_Saúde (NIH) de os EUA, que correm atrás_de uma vacina para a doença.	Institutos_Nacionais_de_Saúde	ORG	(	NIH	ORG
27	2	Isso é tudo o que esperam órgãos como os Institutos_Nacionais_de_Saúde (NIH) de os EUA, que correm atrás_de uma vacina para a doença.	Institutos_Nacionais_de_Saúde	ORG	de	EUA	PLC
27	3	Isso é tudo o que esperam órgãos como os Institutos_Nacionais_de_Saúde (NIH) de os EUA, que correm atrás de uma vacina para a doença.	NIH	ORG	de	EUA	PLC
28	4	As análises feitas com diferentes genes sequenciados até o momento indicam que esse não parece ser um recombinante, disse a a Folha a médica Teresa_Peret, de os CDC (Centros_para_Controle_e_Prevenção_de_Doenças) de os EUA, uma brasileira que integrou a equipe que identificou o vírus.	Teresa_Peret	PER	de	CDC	ORG
28	5	As análises feitas com diferentes genes sequenciados até o momento indicam que esse não parece ser um recombinante, disse a a Folha a médica Teresa_Peret, de os CDC (Centros_para_Controle_e_Prevenção_de_Doenças) de os EUA, uma brasileira que integrou a equipe que identificou o vírus.	CDC	ORG	(	Centros_para_Controle_e_Prevenção_de_Doenças	ORG
28	6	As análises feitas com diferentes genes sequenciados até o momento indicam que esse não parece ser um recombinante, disse a a Folha a médica Teresa_Peret, de os CDC (Centros_para_Controle_e_Prevenção_de_Doenças) de os EUA, uma brasileira que integrou a equipe que identificou o vírus.	CDC	ORG	de	EUA	PLC
28	7	As análises feitas com diferentes genes sequenciados até o momento indicam que esse não parece ser um recombinante, disse a a Folha a médica Teresa_Peret, de os CDC (Centros_para_Controle_e_Prevenção_de_Doenças) de os EUA, uma brasileira que integrou a equipe que identificou o vírus.	Centros_para_Controle_e_Prevenção_de_Doenças	ORG	de	EUA	PLC
28	9	As análises feitas com diferentes genes sequenciados até o momento indicam que esse não parece ser um recombinante, disse a a Folha a médica Teresa_Peret, de os CDC (Centros_para_Controle_e_Prevenção_de_Doenças) de os EUA, uma brasileira que integrou a equipe que identificou o vírus.	Teresa_Peret	PER	de	Centros_para_Controle_e_Prevenção_de_Doenças	ORG
37	1	Para Greg_Laden, de a Universidade_de_Minnesota, e Richard_Wrangham, de a Universidade_Harvard, raízes, tubérculos e outros USOs (sigla em inglês para 'órgãos subterrâneos de armazenamento' de as plantas) permitiram que os primeiros hominídeos, como são conhecidos os ancestrais de o homem, saíssem de a mata fechada e colonizassem ambientes abertos a partir de uns 6 milhões de anos atrás.	Greg_Laden	PER	de	Universidade_de_Minnesota	ORG
37	5	Para Greg_Laden, de a Universidade_de_Minnesota, e Richard_Wrangham, de a Universidade_Harvard, raízes, tubérculos e outros USOs (sigla em inglês para 'órgãos subterrâneos de armazenamento' de as plantas) permitiram que os primeiros hominídeos, como são conhecidos os ancestrais de o homem, saíssem de a mata fechada e colonizassem ambientes abertos a partir de uns 6 milhões de anos atrás.	Richard_Wrangham	PER	de	Universidade_Harvard	ORG
38	1	A estimativa anterior, de a ONU (Organização_das_Nações_Unidas), calculava em meio bilhão o número de indivíduos expostos atualmente a o problema.	ONU	ORG	(	Organização_das_Nações_Unidas	ORG
